"BehaviorSpace results (NetLogo 7.0.3)","Stats version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"mean-effect"
"05/25/2026 19:52:51:357 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"network","threshold-distribution","number-of-agents","sd-threshold","mean-threshold","[step]","(mean) final-proportion","(std) final-proportion","(mean) ticks","(std) ticks"
"fully connected","normal","100","20","37","1","3.4","1.7243356208503415","1","0"
"fully connected","normal","100","20","37","2","6.222222222222222","2.897423291201177","2","0"
"fully connected","normal","100","20","37","3","9.8","4.28485705712571","3","0"
"fully connected","normal","100","20","37","4","14.75","8.437268515343103","4","0"
"fully connected","normal","100","20","37","5","72","N/A","5","N/A"
"fully connected","normal","100","20","37","6","99","N/A","6","N/A"
"fully connected","normal","100","20","37","7","100","N/A","7","N/A"
"fully connected","normal","100","20","38","0","0","0","0","0"
"fully connected","normal","100","20","38","1","4","2.6781362536479447","1","0"
"fully connected","normal","100","20","38","2","7.066666666666666","5.157087894883658","2","0"
"fully connected","normal","100","20","38","3","20.25","16.315253599009733","3","0"
"fully connected","normal","100","20","38","4","40.666666666666664","36.307330144506935","4","0"
"fully connected","normal","100","20","38","5","45.333333333333336","38.663792996664064","5","0"
"fully connected","normal","100","20","38","6","36","N/A","6","N/A"
"fully connected","normal","100","20","38","7","73","N/A","7","N/A"
"fully connected","normal","100","20","38","8","99","N/A","8","N/A"
"fully connected","normal","100","20","38","9","100","N/A","9","N/A"
"fully connected","normal","100","20","39","0","0","0","0","0"
"fully connected","normal","100","20","39","1","3.6785714285714284","1.890834498849864","1","0"
"fully connected","normal","100","20","39","2","6.133333333333334","2.5263060428661888","2","0"
"fully connected","normal","100","20","39","3","7.166666666666667","2.6718699236468995","3","0"
"fully connected","normal","100","20","39","4","11.666666666666666","3.2998316455372216","4","0"
"fully connected","normal","100","20","39","5","9","N/A","5","N/A"
"fully connected","normal","100","20","39","6","10","N/A","6","N/A"
"fully connected","normal","100","20","39","7","11","N/A","7","N/A"
"fully connected","normal","100","20","39","8","14","N/A","8","N/A"
"fully connected","normal","100","20","40","0","0","0","0","0"
"fully connected","normal","100","20","40","1","3.6296296296296298","2.843421884099146","1","0"
"fully connected","normal","100","20","40","2","7.615384615384615","4.306318462239509","2","0"
"fully connected","normal","100","20","40","3","15.5","N/A","3","N/A"
"fully connected","normal","100","20","40","4","18","N/A","4","N/A"
"fully connected","normal","100","20","40","5","18","N/A","5","N/A"
"fully connected","normal","100","20","40","6","21","N/A","6","N/A"
"fully connected","normal","100","20","40","7","22","N/A","7","N/A"
"fully connected","normal","100","20","41","0","0","0","0","0"
"fully connected","normal","100","20","41","1","2.3703703703703702","1.2516107591641337","1","0"
"fully connected","normal","100","20","41","2","4.666666666666667","1.885618083164127","2","0"
"fully connected","normal","100","20","41","3","8","N/A","3","N/A"
"fully connected","normal","100","20","41","4","9","N/A","4","N/A"
"fully connected","normal","100","20","41","5","10","N/A","5","N/A"
"fully connected","normal","100","20","41","6","11","N/A","6","N/A"
"fully connected","normal","100","20","41","7","12","N/A","7","N/A"
"fully connected","normal","100","20","42","0","0","0","0","0"
"fully connected","normal","100","20","42","1","2.7777777777777777","1.34256066373273","1","0"
"fully connected","normal","100","20","42","2","6","1.5118578920369088","2","0"
"fully connected","normal","100","20","42","3","7.666666666666667","0.4714045207910317","3","0"
"fully connected","normal","100","20","43","0","0","0","0","0"
"fully connected","normal","100","20","43","1","2.56","1.745393938341714","1","0"
"fully connected","normal","100","20","43","2","6.5","2.8722813232690143","2","0"
"fully connected","normal","100","20","43","3","10","2.160246899469287","3","0"
"fully connected","normal","100","20","43","4","10","N/A","4","N/A"
"fully connected","normal","100","20","43","5","13","N/A","5","N/A"
"fully connected","normal","100","20","43","6","14","N/A","6","N/A"
"fully connected","normal","100","20","44","0","0","0","0","0"
"fully connected","normal","100","20","44","1","2.2857142857142856","1.8553104513122056","1","0"
"fully connected","normal","100","20","44","2","6.5","3.570714214271425","2","0"
"fully connected","normal","100","20","44","3","14","N/A","3","N/A"
"fully connected","normal","100","20","44","4","17","N/A","4","N/A"
"fully connected","normal","100","20","44","5","18","N/A","5","N/A"
"fully connected","normal","100","20","44","6","19","N/A","6","N/A"
"fully connected","normal","100","20","45","0","0","0","0","0"
"fully connected","normal","100","20","45","1","1.736842105263158","0.6359497880839249","1","0"
"fully connected","normal","100","20","45","2","3.25","1.0897247358851685","2","0"
"fully connected","normal","100","20","45","3","3","N/A","3","N/A"
"fully connected","normal","100","20","46","0","0","0","0","0"
"fully connected","normal","100","20","46","1","1.92","1.0166612021711066","1","0"
"fully connected","normal","100","20","46","2","4.25","0.4330127018922193","2","0"
"fully connected","normal","100","20","46","3","6","N/A","3","N/A"
"fully connected","normal","100","20","47","0","0","0","0","0"
"fully connected","normal","100","20","47","1","1.7647058823529411","0.8764508485736084","1","0"
"fully connected","normal","100","20","47","2","3.5","1.118033988749895","2","0"
"fully connected","normal","100","20","48","0","0","0","0","0"
"fully connected","normal","100","20","48","1","1.8095238095238095","0.7939681905015746","1","0"
"fully connected","normal","100","20","48","2","4","N/A","2","N/A"
"fully connected","normal","100","20","49","0","0","0","0","0"
"fully connected","normal","100","20","49","1","1.1764705882352942","0.38122004108281526","1","0"
"fully connected","normal","100","20","49","2","2.5","N/A","2","N/A"
"fully connected","normal","100","20","50","0","0","0","0","0"
"fully connected","normal","100","20","50","1","1.5","0.8660254037844386","1","0"
"fully connected","normal","100","20","51","0","0","0","0","0"
"fully connected","normal","100","20","51","1","1.6666666666666667","0.7453559924999299","1","0"
"fully connected","normal","100","20","51","2","2","N/A","2","N/A"
"fully connected","normal","100","20","52","0","0","0","0","0"
"fully connected","normal","100","20","52","1","1.5384615384615385","0.498518515262143","1","0"
"fully connected","normal","100","20","52","2","3","N/A","2","N/A"
"fully connected","normal","100","20","53","0","0","0","0","0"
"fully connected","normal","100","20","53","1","1.2222222222222223","0.415739709641549","1","0"
"fully connected","normal","100","20","53","2","3","N/A","2","N/A"
"fully connected","normal","100","20","54","0","0","0","0","0"
"fully connected","normal","100","20","54","1","1.6","0.8","1","0"
"fully connected","normal","100","20","55","0","0","0","0","0"
"fully connected","normal","100","20","55","1","1.3076923076923077","0.6056929133855239","1","0"
"fully connected","normal","100","20","55","2","3","N/A","2","N/A"
"fully connected","normal","100","20","56","0","0","0","0","0"
"fully connected","normal","100","20","56","1","1","0","1","0"
"fully connected","normal","100","20","57","0","0","0","0","0"
"fully connected","normal","100","20","57","1","1","0","1","0"
"fully connected","normal","100","20","58","0","0","0","0","0"
"fully connected","normal","100","20","58","1","1","0","1","0"
"fully connected","normal","100","20","59","0","0","0","0","0"
"fully connected","normal","100","20","59","1","1.125","0.33071891388307384","1","0"
"fully connected","normal","100","20","60","0","0","0","0","0"
"fully connected","normal","100","20","60","1","1","0","1","0"
