"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"diversity-effect"
"05/25/2026 20:16:35:455 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","network","threshold-distribution","number-of-agents","mean-threshold","sd-threshold","[step]","final-proportion","ticks"
"266","fully connected","normal","100","25","14","1","4","1"
"265","fully connected","normal","100","25","14","4","100","4"
"267","fully connected","normal","100","25","14","0","0","0"
"267","fully connected","normal","100","25","14","1","6","1"
"267","fully connected","normal","100","25","14","2","11","2"
"266","fully connected","normal","100","25","14","2","7","2"
"267","fully connected","normal","100","25","14","3","14","3"
"267","fully connected","normal","100","25","14","4","48","4"
"250","fully connected","normal","100","25","13","0","0","0"
"270","fully connected","normal","100","25","14","0","0","0"
"269","fully connected","normal","100","25","14","0","0","0"
"268","fully connected","normal","100","25","14","0","0","0"
"267","fully connected","normal","100","25","14","5","100","5"
"270","fully connected","normal","100","25","14","1","7","1"
"268","fully connected","normal","100","25","14","1","18","1"
"270","fully connected","normal","100","25","14","2","14","2"
"271","fully connected","normal","100","25","14","0","0","0"
"269","fully connected","normal","100","25","14","1","4","1"
"268","fully connected","normal","100","25","14","2","72","2"
"270","fully connected","normal","100","25","14","3","69","3"
"271","fully connected","normal","100","25","14","1","6","1"
"270","fully connected","normal","100","25","14","4","100","4"
"271","fully connected","normal","100","25","14","2","9","2"
"268","fully connected","normal","100","25","14","3","100","3"
"271","fully connected","normal","100","25","14","3","45","3"
"271","fully connected","normal","100","25","14","4","97","4"
"271","fully connected","normal","100","25","14","5","100","5"
"272","fully connected","normal","100","25","14","0","0","0"
"272","fully connected","normal","100","25","14","1","7","1"
"272","fully connected","normal","100","25","14","2","14","2"
"272","fully connected","normal","100","25","14","3","33","3"
"272","fully connected","normal","100","25","14","4","92","4"
"272","fully connected","normal","100","25","14","5","100","5"
"273","fully connected","normal","100","25","14","0","0","0"
"274","fully connected","normal","100","25","14","0","0","0"
"273","fully connected","normal","100","25","14","1","2","1"
"274","fully connected","normal","100","25","14","1","11","1"
"275","fully connected","normal","100","25","14","0","0","0"
"273","fully connected","normal","100","25","14","2","3","2"
"274","fully connected","normal","100","25","14","2","26","2"
"275","fully connected","normal","100","25","14","1","11","1"
"276","fully connected","normal","100","25","14","0","0","0"
"274","fully connected","normal","100","25","14","3","92","3"
"275","fully connected","normal","100","25","14","2","54","2"
"274","fully connected","normal","100","25","14","4","100","4"
"276","fully connected","normal","100","25","14","1","8","1"
"276","fully connected","normal","100","25","14","2","12","2"
"275","fully connected","normal","100","25","14","3","100","3"
"276","fully connected","normal","100","25","14","3","16","3"
"277","fully connected","normal","100","25","14","0","0","0"
"276","fully connected","normal","100","25","14","4","68","4"
"277","fully connected","normal","100","25","14","1","11","1"
"276","fully connected","normal","100","25","14","5","100","5"
"277","fully connected","normal","100","25","14","2","40","2"
"277","fully connected","normal","100","25","14","3","96","3"
"277","fully connected","normal","100","25","14","4","100","4"
"278","fully connected","normal","100","25","14","0","0","0"
"278","fully connected","normal","100","25","14","1","4","1"
"278","fully connected","normal","100","25","14","2","7","2"
"279","fully connected","normal","100","25","14","0","0","0"
"278","fully connected","normal","100","25","14","3","8","3"
"279","fully connected","normal","100","25","14","1","3","1"
"280","fully connected","normal","100","25","14","0","0","0"
