"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"mean-effect"
"05/25/2026 19:52:47:781 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","network","threshold-distribution","number-of-agents","sd-threshold","mean-threshold","[step]","final-proportion","ticks"
"99","fully connected","normal","100","20","4","0","0","0"
"100","fully connected","normal","100","20","4","2","100","2"
"99","fully connected","normal","100","20","4","1","80","1"
"99","fully connected","normal","100","20","4","2","100","2"
"102","fully connected","normal","100","20","4","0","0","0"
"101","fully connected","normal","100","20","4","0","0","0"
"102","fully connected","normal","100","20","4","1","81","1"
"101","fully connected","normal","100","20","4","1","68","1"
"102","fully connected","normal","100","20","4","2","100","2"
"101","fully connected","normal","100","20","4","2","100","2"
"103","fully connected","normal","100","20","4","0","0","0"
"103","fully connected","normal","100","20","4","1","89","1"
"103","fully connected","normal","100","20","4","2","100","2"
"105","fully connected","normal","100","20","4","0","0","0"
"105","fully connected","normal","100","20","4","1","85","1"
"106","fully connected","normal","100","20","4","0","0","0"
"105","fully connected","normal","100","20","4","2","100","2"
"104","fully connected","normal","100","20","4","0","0","0"
"106","fully connected","normal","100","20","4","1","93","1"
"106","fully connected","normal","100","20","4","2","100","2"
"104","fully connected","normal","100","20","4","1","78","1"
"104","fully connected","normal","100","20","4","2","100","2"
"107","fully connected","normal","100","20","4","0","0","0"
"108","fully connected","normal","100","20","4","0","0","0"
"107","fully connected","normal","100","20","4","1","86","1"
"108","fully connected","normal","100","20","4","1","92","1"
"107","fully connected","normal","100","20","4","2","100","2"
"108","fully connected","normal","100","20","4","2","100","2"
"109","fully connected","normal","100","20","4","0","0","0"
"109","fully connected","normal","100","20","4","1","82","1"
"110","fully connected","normal","100","20","4","0","0","0"
"110","fully connected","normal","100","20","4","1","83","1"
"110","fully connected","normal","100","20","4","2","100","2"
"109","fully connected","normal","100","20","4","2","100","2"
"111","fully connected","normal","100","20","4","0","0","0"
"111","fully connected","normal","100","20","4","1","87","1"
"111","fully connected","normal","100","20","4","2","100","2"
"112","fully connected","normal","100","20","4","0","0","0"
"112","fully connected","normal","100","20","4","1","91","1"
"112","fully connected","normal","100","20","4","2","100","2"
"113","fully connected","normal","100","20","4","0","0","0"
"113","fully connected","normal","100","20","4","1","77","1"
"114","fully connected","normal","100","20","4","0","0","0"
"114","fully connected","normal","100","20","4","1","89","1"
"114","fully connected","normal","100","20","4","2","100","2"
"113","fully connected","normal","100","20","4","2","100","2"
"116","fully connected","normal","100","20","4","0","0","0"
"116","fully connected","normal","100","20","4","1","81","1"
"116","fully connected","normal","100","20","4","2","100","2"
"115","fully connected","normal","100","20","4","0","0","0"
"115","fully connected","normal","100","20","4","1","90","1"
"60","fully connected","normal","100","20","2","2","100","2"
"118","fully connected","normal","100","20","4","0","0","0"
"117","fully connected","normal","100","20","4","0","0","0"
"115","fully connected","normal","100","20","4","2","100","2"
"120","fully connected","normal","100","20","4","0","0","0"
"117","fully connected","normal","100","20","4","1","93","1"
"118","fully connected","normal","100","20","4","1","81","1"
"120","fully connected","normal","100","20","4","1","84","1"
"119","fully connected","normal","100","20","4","0","0","0"
"117","fully connected","normal","100","20","4","2","100","2"
"119","fully connected","normal","100","20","4","1","90","1"
"118","fully connected","normal","100","20","4","2","100","2"
"120","fully connected","normal","100","20","4","2","100","2"
"119","fully connected","normal","100","20","4","2","100","2"
"121","fully connected","normal","100","20","5","0","0","0"
"121","fully connected","normal","100","20","5","1","81","1"
"121","fully connected","normal","100","20","5","2","100","2"
"123","fully connected","normal","100","20","5","0","0","0"
"125","fully connected","normal","100","20","5","0","0","0"
"123","fully connected","normal","100","20","5","1","77","1"
"124","fully connected","normal","100","20","5","0","0","0"
"123","fully connected","normal","100","20","5","2","100","2"
"126","fully connected","normal","100","20","5","0","0","0"
"124","fully connected","normal","100","20","5","1","86","1"
"126","fully connected","normal","100","20","5","1","85","1"
"124","fully connected","normal","100","20","5","2","100","2"
"126","fully connected","normal","100","20","5","2","100","2"
"127","fully connected","normal","100","20","5","0","0","0"
"127","fully connected","normal","100","20","5","1","90","1"
"127","fully connected","normal","100","20","5","2","100","2"
"128","fully connected","normal","100","20","5","0","0","0"
"128","fully connected","normal","100","20","5","1","87","1"
"128","fully connected","normal","100","20","5","2","100","2"
"129","fully connected","normal","100","20","5","0","0","0"
"129","fully connected","normal","100","20","5","1","79","1"
"131","fully connected","normal","100","20","5","0","0","0"
"129","fully connected","normal","100","20","5","2","100","2"
"131","fully connected","normal","100","20","5","1","59","1"
"131","fully connected","normal","100","20","5","2","100","2"
"132","fully connected","normal","100","20","5","0","0","0"
"130","fully connected","normal","100","20","5","0","0","0"
"132","fully connected","normal","100","20","5","1","72","1"
"132","fully connected","normal","100","20","5","2","100","2"
"130","fully connected","normal","100","20","5","1","83","1"
"130","fully connected","normal","100","20","5","2","100","2"
"133","fully connected","normal","100","20","5","0","0","0"
"133","fully connected","normal","100","20","5","1","81","1"
"133","fully connected","normal","100","20","5","2","100","2"
"135","fully connected","normal","100","20","5","0","0","0"
"134","fully connected","normal","100","20","5","0","0","0"
"135","fully connected","normal","100","20","5","1","85","1"
"134","fully connected","normal","100","20","5","1","92","1"
"134","fully connected","normal","100","20","5","2","100","2"
"136","fully connected","normal","100","20","5","0","0","0"
"136","fully connected","normal","100","20","5","1","79","1"
"136","fully connected","normal","100","20","5","2","100","2"
"137","fully connected","normal","100","20","5","0","0","0"
"137","fully connected","normal","100","20","5","1","77","1"
"137","fully connected","normal","100","20","5","2","100","2"
"138","fully connected","normal","100","20","5","0","0","0"
"138","fully connected","normal","100","20","5","1","88","1"
"138","fully connected","normal","100","20","5","2","100","2"
"139","fully connected","normal","100","20","5","0","0","0"
"139","fully connected","normal","100","20","5","1","84","1"
"140","fully connected","normal","100","20","5","0","0","0"
"139","fully connected","normal","100","20","5","2","100","2"
"140","fully connected","normal","100","20","5","1","77","1"
"140","fully connected","normal","100","20","5","2","100","2"
"141","fully connected","normal","100","20","5","0","0","0"
"122","fully connected","normal","100","20","5","0","0","0"
"141","fully connected","normal","100","20","5","1","81","1"
"141","fully connected","normal","100","20","5","2","100","2"
"142","fully connected","normal","100","20","5","0","0","0"
"142","fully connected","normal","100","20","5","1","88","1"
"142","fully connected","normal","100","20","5","2","100","2"
"143","fully connected","normal","100","20","5","0","0","0"
"143","fully connected","normal","100","20","5","1","73","1"
"143","fully connected","normal","100","20","5","2","100","2"
"144","fully connected","normal","100","20","5","0","0","0"
"144","fully connected","normal","100","20","5","1","70","1"
"144","fully connected","normal","100","20","5","2","100","2"
"145","fully connected","normal","100","20","5","0","0","0"
"145","fully connected","normal","100","20","5","1","84","1"
"145","fully connected","normal","100","20","5","2","100","2"
"146","fully connected","normal","100","20","5","0","0","0"
"146","fully connected","normal","100","20","5","1","89","1"
"146","fully connected","normal","100","20","5","2","100","2"
"147","fully connected","normal","100","20","5","0","0","0"
"147","fully connected","normal","100","20","5","1","72","1"
"147","fully connected","normal","100","20","5","2","100","2"
"148","fully connected","normal","100","20","5","0","0","0"
"148","fully connected","normal","100","20","5","1","88","1"
"148","fully connected","normal","100","20","5","2","100","2"
"149","fully connected","normal","100","20","5","0","0","0"
"149","fully connected","normal","100","20","5","1","87","1"
"149","fully connected","normal","100","20","5","2","100","2"
"150","fully connected","normal","100","20","5","0","0","0"
"150","fully connected","normal","100","20","5","1","84","1"
"150","fully connected","normal","100","20","5","2","100","2"
"151","fully connected","normal","100","20","6","0","0","0"
"151","fully connected","normal","100","20","6","1","51","1"
"151","fully connected","normal","100","20","6","2","100","2"
"152","fully connected","normal","100","20","6","0","0","0"
"152","fully connected","normal","100","20","6","1","83","1"
"152","fully connected","normal","100","20","6","2","100","2"
"153","fully connected","normal","100","20","6","0","0","0"
"153","fully connected","normal","100","20","6","1","87","1"
"153","fully connected","normal","100","20","6","2","100","2"
"125","fully connected","normal","100","20","5","1","81","1"
"125","fully connected","normal","100","20","5","2","100","2"
"154","fully connected","normal","100","20","6","0","0","0"
"154","fully connected","normal","100","20","6","1","83","1"
"155","fully connected","normal","100","20","6","0","0","0"
"154","fully connected","normal","100","20","6","2","100","2"
"155","fully connected","normal","100","20","6","1","78","1"
"155","fully connected","normal","100","20","6","2","100","2"
"156","fully connected","normal","100","20","6","0","0","0"
"156","fully connected","normal","100","20","6","1","76","1"
"156","fully connected","normal","100","20","6","2","100","2"
"157","fully connected","normal","100","20","6","0","0","0"
"157","fully connected","normal","100","20","6","1","73","1"
"157","fully connected","normal","100","20","6","2","100","2"
"122","fully connected","normal","100","20","5","1","88","1"
"158","fully connected","normal","100","20","6","0","0","0"
"158","fully connected","normal","100","20","6","1","78","1"
"159","fully connected","normal","100","20","6","0","0","0"
"158","fully connected","normal","100","20","6","2","100","2"
"159","fully connected","normal","100","20","6","1","81","1"
"159","fully connected","normal","100","20","6","2","100","2"
"160","fully connected","normal","100","20","6","0","0","0"
"160","fully connected","normal","100","20","6","1","74","1"
"160","fully connected","normal","100","20","6","2","100","2"
"161","fully connected","normal","100","20","6","0","0","0"
"161","fully connected","normal","100","20","6","1","75","1"
"162","fully connected","normal","100","20","6","0","0","0"
"161","fully connected","normal","100","20","6","2","100","2"
"162","fully connected","normal","100","20","6","1","68","1"
"162","fully connected","normal","100","20","6","2","100","2"
"163","fully connected","normal","100","20","6","0","0","0"
"164","fully connected","normal","100","20","6","0","0","0"
"163","fully connected","normal","100","20","6","1","86","1"
"164","fully connected","normal","100","20","6","1","87","1"
"163","fully connected","normal","100","20","6","2","100","2"
"135","fully connected","normal","100","20","5","2","100","2"
"164","fully connected","normal","100","20","6","2","100","2"
"165","fully connected","normal","100","20","6","0","0","0"
"165","fully connected","normal","100","20","6","1","80","1"
"165","fully connected","normal","100","20","6","2","100","2"
"166","fully connected","normal","100","20","6","0","0","0"
"166","fully connected","normal","100","20","6","1","80","1"
"167","fully connected","normal","100","20","6","0","0","0"
"166","fully connected","normal","100","20","6","2","100","2"
"167","fully connected","normal","100","20","6","1","91","1"
"167","fully connected","normal","100","20","6","2","100","2"
"169","fully connected","normal","100","20","6","0","0","0"
"168","fully connected","normal","100","20","6","0","0","0"
"169","fully connected","normal","100","20","6","1","82","1"
"169","fully connected","normal","100","20","6","2","100","2"
"168","fully connected","normal","100","20","6","1","86","1"
"168","fully connected","normal","100","20","6","2","100","2"
"170","fully connected","normal","100","20","6","0","0","0"
"170","fully connected","normal","100","20","6","1","75","1"
"170","fully connected","normal","100","20","6","2","100","2"
"171","fully connected","normal","100","20","6","0","0","0"
"171","fully connected","normal","100","20","6","1","84","1"
"172","fully connected","normal","100","20","6","0","0","0"
"171","fully connected","normal","100","20","6","2","100","2"
"173","fully connected","normal","100","20","6","0","0","0"
"172","fully connected","normal","100","20","6","1","76","1"
"172","fully connected","normal","100","20","6","2","100","2"
"173","fully connected","normal","100","20","6","1","89","1"
"174","fully connected","normal","100","20","6","0","0","0"
"173","fully connected","normal","100","20","6","2","100","2"
"174","fully connected","normal","100","20","6","1","90","1"
"175","fully connected","normal","100","20","6","0","0","0"
"175","fully connected","normal","100","20","6","1","82","1"
"174","fully connected","normal","100","20","6","2","100","2"
"175","fully connected","normal","100","20","6","2","100","2"
"176","fully connected","normal","100","20","6","0","0","0"
"176","fully connected","normal","100","20","6","1","89","1"
"177","fully connected","normal","100","20","6","0","0","0"
"176","fully connected","normal","100","20","6","2","100","2"
"178","fully connected","normal","100","20","6","0","0","0"
"122","fully connected","normal","100","20","5","2","100","2"
"180","fully connected","normal","100","20","6","0","0","0"
"181","fully connected","normal","100","20","7","0","0","0"
"179","fully connected","normal","100","20","6","0","0","0"
"177","fully connected","normal","100","20","6","1","79","1"
"178","fully connected","normal","100","20","6","1","79","1"
"180","fully connected","normal","100","20","6","1","81","1"
"181","fully connected","normal","100","20","7","1","88","1"
"179","fully connected","normal","100","20","6","1","73","1"
"180","fully connected","normal","100","20","6","2","100","2"
"178","fully connected","normal","100","20","6","2","100","2"
"177","fully connected","normal","100","20","6","2","100","2"
"181","fully connected","normal","100","20","7","2","100","2"
"179","fully connected","normal","100","20","6","2","100","2"
"182","fully connected","normal","100","20","7","0","0","0"
"182","fully connected","normal","100","20","7","1","71","1"
"182","fully connected","normal","100","20","7","2","100","2"
"184","fully connected","normal","100","20","7","0","0","0"
"188","fully connected","normal","100","20","7","0","0","0"
"186","fully connected","normal","100","20","7","0","0","0"
"184","fully connected","normal","100","20","7","1","81","1"
"186","fully connected","normal","100","20","7","1","76","1"
"188","fully connected","normal","100","20","7","1","80","1"
"184","fully connected","normal","100","20","7","2","100","2"
"186","fully connected","normal","100","20","7","2","100","2"
"188","fully connected","normal","100","20","7","2","100","2"
"187","fully connected","normal","100","20","7","0","0","0"
"185","fully connected","normal","100","20","7","0","0","0"
"187","fully connected","normal","100","20","7","1","81","1"
"189","fully connected","normal","100","20","7","0","0","0"
"185","fully connected","normal","100","20","7","1","82","1"
