"BehaviorSpace results (NetLogo 7.0.3)","Stats version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"diversity-effect"
"05/25/2026 20:16:38:741 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"network","threshold-distribution","number-of-agents","mean-threshold","sd-threshold","[step]","(mean) final-proportion","(std) final-proportion","(mean) ticks","(std) ticks"
"fully connected","normal","100","25","31","3","98.25","1.699264546796643","3","0"
"fully connected","normal","100","25","31","4","99.25","1.0103629710818451","4","0"
"fully connected","normal","100","25","31","5","99.66666666666667","0.4714045207910317","5","0"
"fully connected","normal","100","25","31","6","100","N/A","6","N/A"
"fully connected","normal","100","25","32","0","0","0","0","0"
"fully connected","normal","100","25","32","1","39.6","7.465922581972036","1","0"
"fully connected","normal","100","25","32","2","83.65","9.461897272746096","2","0"
"fully connected","normal","100","25","32","3","98","1.7888543819998317","3","0"
"fully connected","normal","100","25","32","4","99.35714285714286","1.171515676204052","4","0"
"fully connected","normal","100","25","32","5","98.5","N/A","5","N/A"
"fully connected","normal","100","25","33","0","0","0","0","0"
"fully connected","normal","100","25","33","1","44.55","8.720521773380307","1","0"
"fully connected","normal","100","25","33","2","85.6","6.183849933496123","2","0"
"fully connected","normal","100","25","33","3","97.5","1.8841443681416772","3","0"
"fully connected","normal","100","25","33","4","98.8125","1.5090870584562046","4","0"
"fully connected","normal","100","25","33","5","98.4","1.019803902718557","5","0"
"fully connected","normal","100","25","33","6","100","N/A","6","N/A"
"fully connected","normal","100","25","34","0","0","0","0","0"
"fully connected","normal","100","25","34","1","41.65","6.35826234123758","1","0"
"fully connected","normal","100","25","34","2","81.25","7.7128140130564535","2","0"
"fully connected","normal","100","25","34","3","96.2","2.336664289109585","3","0"
"fully connected","normal","100","25","34","4","98.4375","1.1709371246996996","4","0"
"fully connected","normal","100","25","34","5","99.6","0.4898979485566356","5","0"
"fully connected","normal","100","25","34","6","100","N/A","6","N/A"
"fully connected","normal","100","25","35","0","0","0","0","0"
"fully connected","normal","100","25","35","1","44.75","10.148275715608046","1","0"
"fully connected","normal","100","25","35","2","82.1","8.01186619958172","2","0"
"fully connected","normal","100","25","35","3","96.1","2.6814175355583845","3","0"
"fully connected","normal","100","25","35","4","98.46666666666667","1.820866704499688","4","0"
"fully connected","normal","100","25","35","5","100","N/A","5","N/A"
"fully connected","normal","100","25","36","0","0","0","0","0"
"fully connected","normal","100","25","36","1","43.6","9.409569596958194","1","0"
"fully connected","normal","100","25","36","2","80.25","11.471159488037816","2","0"
"fully connected","normal","100","25","36","3","94.8","6.104096984812742","3","0"
"fully connected","normal","100","25","36","4","97.57142857142857","2.498979383505129","4","0"
"fully connected","normal","100","25","36","5","96.66666666666667","1.247219128924647","5","0"
"fully connected","normal","100","25","37","0","0","0","0","0"
"fully connected","normal","100","25","37","1","41.05","6.974775982065662","1","0"
"fully connected","normal","100","25","37","2","78.65","9.900883798934315","2","0"
"fully connected","normal","100","25","37","3","92.8","4.935585071701226","3","0"
"fully connected","normal","100","25","37","4","94.66666666666667","1.7480147469502525","4","0"
"fully connected","normal","100","25","37","5","96","2.3804761428476167","5","0"
"fully connected","normal","100","25","37","6","96","N/A","6","N/A"
"fully connected","normal","100","25","38","0","0","0","0","0"
"fully connected","normal","100","25","38","1","42.6","6.777905281132218","1","0"
"fully connected","normal","100","25","38","2","78.85","7.044678842928186","2","0"
"fully connected","normal","100","25","38","3","93.45","3.9175885439897846","3","0"
"fully connected","normal","100","25","38","4","96.05882352941177","2.6227643305421124","4","0"
"fully connected","normal","100","25","38","5","97.42857142857143","1.9897697538834456","5","0"
"fully connected","normal","100","25","38","6","98.5","N/A","6","N/A"
"fully connected","normal","100","25","39","0","0","0","0","0"
"fully connected","normal","100","25","39","1","43.7","8.871865643707642","1","0"
"fully connected","normal","100","25","39","2","79.85","9.339566371090255","2","0"
"fully connected","normal","100","25","39","3","93.75","3.1603006186120965","3","0"
"fully connected","normal","100","25","39","4","96.6","1.9252705437591533","4","0"
"fully connected","normal","100","25","39","5","97.2","0.4","5","0"
"fully connected","normal","100","25","40","0","0","0","0","0"
"fully connected","normal","100","25","40","1","45.95","8.488079877098235","1","0"
"fully connected","normal","100","25","40","2","81.05","8.991523786322317","2","0"
"fully connected","normal","100","25","40","3","93.6","3.942080668885405","3","0"
"fully connected","normal","100","25","40","4","95.13333333333334","3.073904502239601","4","0"
"fully connected","normal","100","25","40","5","95.4","3.1999999999999997","5","0"
"fully connected","normal","100","25","41","0","0","0","0","0"
"fully connected","normal","100","25","41","1","44.15","7.72188448502048","1","0"
"fully connected","normal","100","25","41","2","77.7","8.307225770376053","2","0"
"fully connected","normal","100","25","41","3","92.35","3.745330426010501","3","0"
"fully connected","normal","100","25","41","4","95.55555555555556","2.314740739555518","4","0"
"fully connected","normal","100","25","41","5","96.28571428571429","1.9794866372215738","5","0"
"fully connected","normal","100","25","42","0","0","0","0","0"
"fully connected","normal","100","25","42","1","46.4","10.34601372510205","1","0"
"fully connected","normal","100","25","42","2","78.15","12.067621969551416","2","0"
"fully connected","normal","100","25","42","3","90.2","6.376519426771944","3","0"
"fully connected","normal","100","25","42","4","92.6923076923077","4.026539177939201","4","0"
"fully connected","normal","100","25","42","5","93.125","3.550968177835448","5","0"
"fully connected","normal","100","25","42","6","90","N/A","6","N/A"
"fully connected","normal","100","25","43","0","0","0","0","0"
"fully connected","normal","100","25","43","1","44.5","6.674578638386096","1","0"
"fully connected","normal","100","25","43","2","77.55","8.575983908566993","2","0"
"fully connected","normal","100","25","43","3","91.15","3.876531955240406","3","0"
"fully connected","normal","100","25","43","4","93.61538461538461","3.386363185085406","4","0"
"fully connected","normal","100","25","43","5","95.14285714285714","3.979539507766891","5","0"
"fully connected","normal","100","25","43","6","94","N/A","6","N/A"
"fully connected","normal","100","25","43","7","89","N/A","7","N/A"
"fully connected","normal","100","25","44","0","0","0","0","0"
"fully connected","normal","100","25","44","1","45.35","7.8184077662910365","1","0"
"fully connected","normal","100","25","44","2","78","9.690201236300513","2","0"
"fully connected","normal","100","25","44","3","91.1","4.7212286536451495","3","0"
"fully connected","normal","100","25","44","4","93.86666666666666","2.94089933334837","4","0"
"fully connected","normal","100","25","44","5","95","3.8987177379235853","5","0"
"fully connected","normal","100","25","44","6","99","N/A","6","N/A"
"fully connected","normal","100","25","44","7","100","N/A","7","N/A"
"fully connected","normal","100","25","45","0","0","0","0","0"
"fully connected","normal","100","25","45","1","45.85","7.741285422977246","1","0"
"fully connected","normal","100","25","45","2","76.85","7.309411741036347","2","0"
"fully connected","normal","100","25","45","3","90.5","3.930648801406709","3","0"
"fully connected","normal","100","25","45","4","93.84210526315789","3.5579881644538047","4","0"
"fully connected","normal","100","25","45","5","96","3.197221015541813","5","0"
"fully connected","normal","100","25","45","6","95.5","N/A","6","N/A"
"fully connected","normal","100","25","46","0","0","0","0","0"
"fully connected","normal","100","25","46","1","45.85","6.55190811901388","1","0"
"fully connected","normal","100","25","46","2","76.9","6.927481504847199","2","0"
"fully connected","normal","100","25","46","3","88.85","5.867495206644826","3","0"
